,duration,duration,duration,duration,occupancy,shared_memory,time_percentage
,count,mean,sum,std,mean,mean,
layer_type,,,,,,,
activation,5803,1.87,10839.4,0.1,8.09,0.0,0.26
attention,996,28.74,28628.86,53.18,3.0,57.67,0.69
elementwise,2433,3.41,8295.32,24.98,6.93,0.0,0.2
embedding,200,7.03,1405.96,0.5,36.0,1184.0,0.03
linear,57704,69.48,4009134.85,98.62,48.67,5890.43,96.97
memory,2,3.02,6.05,0.29,14.0,0.0,0.0
normalization,12602,3.81,48060.03,0.63,0.07,44.5,1.16
other,8968,3.1,27828.29,2.99,4.03,655.73,0.67
